Name,Symbol,Price,24h Change,Market Cap,Timestamp
CoinMarketCap 20 Index DTF,CMC20,$192.00,0.31%,"$6,078,335",2025-11-29 12:39:47
Bitcoin,BTC,"$90,651.68",0.14%,"$1,809,256,383,954",2025-11-29 12:39:47
Ethereum,ETH,"$3,010.52",0.77%,"$363,426,339,616",2025-11-29 12:39:47
Tether,USDT,$1.00,0.01%,"$184,683,518,145",2025-11-29 12:39:47
XRP,XRP,$2.18,0.06%,"$131,724,058,986",2025-11-29 12:39:47
BNB,BNB,$879.48,0.28%,"$121,137,265,441",2025-11-29 12:39:47
Solana,SOL,$137.09,0.14%,"$76,710,888,846",2025-11-29 12:39:47
USDC,USDC,$1.00,0.04%,"$76,513,318,105",2025-11-29 12:39:47
TRON,TRX,$0.2809,0.25%,"$26,600,644,472",2025-11-29 12:39:47
Dogecoin,DOGE,$0.1493,0.26%,"$22,691,768,990",2025-11-29 12:39:48
